source_file,nx,ny,nz,nRaySPECT,coneMethod,implementation,projector_type,OSEM,nIter,nSubsets,subset_type,nProjections, ntime
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.737827
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.753485
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.734031
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.736677
nema1,128,128,128,1,3,4,1,1,2,8,3,64,0.733140
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.705878
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.687751
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.705947
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.671819
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.618691
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.487831
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.638285
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.562963
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.656647
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.583840
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.615382
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.564813
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.557284
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.564386
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.561376
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.561041
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.540509
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.514060
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.567773
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.795019
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.667733
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.655974
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.531727
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.493594
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.686612
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.635680
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.638988
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.629901
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.470857
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.475651
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.585075
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.565057
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.731371
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.659335
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.557797
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.656244
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.629195
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.649215
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.627702
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.562341
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.481552
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.596725
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.671812
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.589842
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.772412
nema1,128,128,128,4,3,4,1,1,2,8,3,64,12.036681
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.609308
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.592243
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.571661
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.665073
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.608293
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.739626
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.609175
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.588450
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.597782
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.516657
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.502011
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.527074
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.612025
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.676599
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.649043
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.573702
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.599677
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.695469
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.678249
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.624197
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.716655
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.600738
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.685537
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.586319
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.524503
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.621671
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.465468
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.443429
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.313470
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.314670
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.303737
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.449029
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.339262
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.442457
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.288683
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.483795
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.195073
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.306120
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.418922
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.384089
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.390122
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.373630
nema1,128,128,128,4,3,4,1,1,2,8,3,64,11.409321
